iter	Passed	Remaining
0	53	21187
1	92	18313
2	125	16562
3	153	15152
4	180	14269
5	210	13828
6	238	13367
7	268	13140
8	296	12862
9	326	12730
10	355	12558
11	382	12370
12	412	12291
13	440	12149
14	469	12051
15	498	11966
16	526	11857
17	554	11772
18	582	11688
19	610	11596
20	638	11523
21	667	11473
22	699	11462
23	729	11422
24	759	11393
25	790	11365
26	818	11311
27	850	11298
28	878	11236
29	906	11178
30	934	11120
31	962	11074
32	991	11024
33	1020	10989
34	1049	10948
35	1078	10906
36	1106	10859
37	1135	10819
38	1165	10791
39	1193	10744
40	1220	10688
41	1248	10645
42	1277	10602
43	1304	10557
44	1332	10515
45	1360	10466
46	1389	10435
47	1417	10397
48	1445	10352
49	1472	10309
50	1499	10260
51	1527	10221
52	1555	10182
53	1582	10142
54	1610	10100
55	1637	10059
56	1664	10017
57	1692	9980
58	1720	9942
59	1748	9908
60	1777	9879
61	1805	9843
62	1834	9814
63	1862	9779
64	1891	9751
65	1921	9721
66	1951	9701
67	1983	9684
68	2013	9657
69	2045	9642
70	2076	9623
71	2107	9598
72	2135	9567
73	2164	9536
74	2193	9503
75	2221	9472
76	2253	9452
77	2282	9424
78	2310	9387
79	2338	9352
80	2367	9322
81	2395	9291
82	2424	9261
83	2453	9229
84	2482	9201
85	2511	9171
86	2540	9139
87	2568	9107
88	2597	9075
89	2625	9044
90	2653	9011
91	2681	8978
92	2710	8947
93	2738	8915
94	2765	8878
95	2794	8848
96	2824	8821
97	2853	8793
98	2883	8766
99	2911	8735
100	2939	8703
101	2965	8664
102	2992	8627
103	3022	8602
104	3051	8574
105	3081	8547
106	3111	8519
107	3140	8489
108	3167	8457
109	3196	8426
110	3225	8398
111	3254	8368
112	3283	8340
113	3327	8347
114	3366	8343
115	3396	8315
116	3423	8281
117	3451	8248
118	3479	8216
119	3508	8186
120	3538	8158
121	3567	8129
122	3597	8100
123	3626	8071
124	3655	8041
125	3683	8011
126	3711	7977
127	3739	7946
128	3767	7914
129	3795	7883
130	3824	7853
131	3852	7821
132	3881	7791
133	3912	7765
134	3940	7734
135	3969	7704
136	3999	7677
137	4027	7647
138	4056	7615
139	4084	7585
140	4114	7557
141	4143	7528
142	4171	7496
143	4200	7467
144	4230	7439
145	4259	7409
146	4286	7378
147	4314	7346
148	4343	7316
149	4373	7289
150	4418	7286
151	4458	7274
152	4487	7243
153	4515	7212
154	4542	7180
155	4572	7151
156	4602	7122
157	4632	7096
158	4662	7066
159	4691	7037
160	4719	7006
161	4750	6978
162	4779	6949
163	4808	6920
164	4836	6888
165	4865	6858
166	4895	6830
167	4925	6801
168	4956	6774
169	4987	6748
170	5019	6722
171	5048	6692
172	5077	6661
173	5104	6630
174	5132	6599
175	5161	6569
176	5190	6539
177	5219	6509
178	5247	6478
179	5275	6448
180	5303	6416
181	5330	6385
182	5359	6354
183	5387	6324
184	5413	6291
185	5442	6261
186	5470	6231
187	5498	6200
188	5525	6168
189	5553	6138
190	5580	6106
191	5608	6076
192	5637	6046
193	5663	6014
194	5690	5982
195	5716	5950
196	5744	5919
197	5770	5887
198	5798	5857
199	5826	5826
200	5854	5796
201	5882	5765
202	5909	5735
203	5938	5705
204	5966	5675
205	5994	5645
206	6022	5615
207	6051	5585
208	6078	5555
209	6107	5525
210	6135	5495
211	6162	5465
212	6190	5434
213	6219	5406
214	6249	5377
215	6278	5347
216	6306	5318
217	6335	5289
218	6363	5259
219	6392	5229
220	6420	5200
221	6448	5170
222	6478	5141
223	6505	5111
224	6535	5082
225	6563	5053
226	6590	5022
227	6617	4992
228	6645	4962
229	6673	4932
230	6702	4903
231	6731	4874
232	6760	4845
233	6790	4816
234	6820	4788
235	6846	4757
236	6875	4728
237	6904	4699
238	6932	4670
239	6961	4641
240	6992	4613
241	7020	4583
242	7049	4554
243	7077	4525
244	7106	4495
245	7135	4467
246	7163	4437
247	7191	4407
248	7220	4378
249	7249	4349
250	7279	4321
251	7307	4291
252	7336	4262
253	7367	4234
254	7396	4205
255	7425	4177
256	7454	4148
257	7483	4119
258	7511	4089
259	7540	4060
260	7568	4030
261	7596	4000
262	7625	3972
263	7654	3943
264	7682	3913
265	7710	3884
266	7739	3855
267	7766	3825
268	7796	3796
269	7824	3767
270	7853	3738
271	7883	3709
272	7913	3681
273	7941	3651
274	7969	3622
275	7996	3592
276	8026	3564
277	8054	3534
278	8084	3506
279	8111	3476
280	8140	3447
281	8170	3418
282	8197	3389
283	8226	3360
284	8253	3330
285	8282	3301
286	8310	3271
287	8337	3242
288	8366	3213
289	8394	3184
290	8422	3154
291	8451	3125
292	8479	3096
293	8507	3067
294	8535	3038
295	8566	3009
296	8594	2980
297	8622	2951
298	8650	2922
299	8679	2893
300	8708	2864
301	8737	2835
302	8765	2806
303	8794	2777
304	8823	2748
305	8852	2719
306	8881	2690
307	8910	2661
308	8938	2632
309	8966	2603
310	8993	2573
311	9021	2544
312	9049	2515
313	9077	2486
314	9107	2457
315	9134	2428
316	9163	2399
317	9191	2370
318	9219	2340
319	9247	2311
320	9278	2283
321	9306	2254
322	9335	2225
323	9364	2196
324	9392	2167
325	9423	2139
326	9452	2110
327	9481	2081
328	9509	2052
329	9536	2022
330	9564	1993
331	9591	1964
332	9619	1935
333	9648	1906
334	9677	1877
335	9706	1848
336	9735	1819
337	9763	1790
338	9793	1762
339	9821	1733
340	9849	1704
341	9879	1675
342	9907	1646
343	9937	1617
344	9964	1588
345	9994	1559
346	10022	1530
347	10050	1501
348	10080	1473
349	10108	1444
350	10137	1415
351	10164	1386
352	10192	1357
353	10219	1327
354	10247	1298
355	10274	1269
356	10302	1240
357	10330	1211
358	10360	1183
359	10389	1154
360	10417	1125
361	10447	1096
362	10476	1067
363	10507	1039
364	10536	1010
365	10565	981
366	10592	952
367	10620	923
368	10649	894
369	10676	865
370	10706	836
371	10734	808
372	10761	779
373	10791	750
374	10819	721
375	10847	692
376	10876	663
377	10905	634
378	10933	605
379	10962	576
380	10991	548
381	11020	519
382	11048	490
383	11077	461
384	11104	432
385	11133	403
386	11161	374
387	11191	346
388	11220	317
389	11248	288
390	11277	259
391	11306	230
392	11334	201
393	11363	173
394	11391	144
395	11419	115
396	11449	86
397	11478	57
398	11508	28
399	11538	0
